query_id,% Identity,bitscore,% Positives,score
AAA02589.1,89.0,21.7,98.0,44.3
AAA02599.1,89.0,21.43,97.5,43.6
AAA02606.2,89.5,21.86,95.0,44.8
AAA02608.1,86.5,20.76,95.5,41.9
AAA02613.3,92.857,18.28,100.0,35.45
AAA02614.2,100.0,18.1,100.0,35.0
AAA02616.1,94.4445,20.1,100.0,40.25
AAA02619.1,95.5556,20.31,98.3335,40.8
AAA03467.1,88.0,21.915,98.0,44.95
AAA17847.1,89.5,21.05,96.0,42.65
AAA17903.1,78.3889,19.8,92.4445,39.5
AAA17924.1,88.6667,21.09,95.0,42.75
AAA17925.1,88.0,21.8,97.0,44.65
AAA17928.1,83.4444,20.44,97.5,41.1
AAA17930.1,88.5,20.84,96.5,42.1
AAA17932.1,86.5,21.15,95.0,42.9
AAA17933.1,87.5,21.135,91.5,42.85
AAA17934.1,87.5,21.54,97.5,43.9
AAA17935.1,88.5,20.935,94.5,42.35
AAA17944.1,89.0,21.67,94.5,44.25
AAA17950.1,96.5,19.78,98.5,39.45
AAA18266.1,89.0,21.66,96.5,44.2
AAA18272.1,91.0,21.56,96.5,43.95
AAA18485.1,89.0,21.465,97.5,43.7
AAA18807.1,84.5,20.495,91.0,41.25
AAA18809.1,89.5,21.31,96.5,43.3
AAA18810.1,89.7243,14.075,96.653,24.5
AAA18818.1,94.5,19.7,98.5,39.25
AAA19489.1,85.0,21.1,97.5,42.75
AAA19878.1,83.0,19.86,92.0,39.65
AAA19881.1,88.0,21.53,94.0,43.9
AAA20099.1,93.125,20.01,97.5,40.0
AAA20100.1,100.0,16.5,100.0,31.0
AAA20101.1,97.7778,19.82,98.3335,39.55
AAA20177.1,87.5,21.145,98.0,42.9
AAA20546.1,87.0,20.88,96.5,42.2
AAA20547.1,88.9444,21.485,94.0,43.75
AAA20549.1,87.5,21.665,96.5,44.25
AAA36053.1,86.5,21.32,91.0,43.35
AAA36065.1,84.0,20.1,90.5,40.25
AAA36066.1,76.9445,17.06,80.445,32.35
AAA36067.1,89.0,20.86,94.0,42.15
AAA36069.1,90.0,21.195,94.5,43.0
AAA36070.1,87.5001,19.475,88.612,38.65
AAA36071.2,76.3891,16.24,79.724,30.2
AAA36072.1,80.5002,18.555,83.2235,36.2
AAA36073.1,86.0,21.645,98.5,44.2
AAA36074.1,96.1111,20.82,100.0,42.05
AAA36079.1,88.0,21.43,98.0,43.6
AAA51012.1,87.5,19.84,90.5,39.6
AAA52627.1,75.0,18.44,80.5,35.9
AAA52628.1,70.0618,15.7444,71.7906,28.8889
AAA52738.1,86.5,20.88,90.5,42.25
AAA52786.1,89.9998,16.04,98.333,29.7
AAA52797.1,85.5,21.09,96.5,42.75
AAA52801.1,90.0,22.3,95.0,46.0
AAA52810.1,84.5,20.1,92.0,40.25
AAA52812.1,84.5,20.74,95.5,41.85
AAA52814.1,100.0,19.6,100.0,39.0
AAA52827.1,93.0,21.11,100.0,42.8
AAA52868.1,83.5,20.56,90.0,41.4
AAA52877.1,89.0,20.99,93.5,42.5
AAA52899.1,80.4464,16.035,89.6825,29.65
AAA52901.1,80.5,18.08,81.0,34.95
AAA52902.1,88.0556,19.22,97.4445,37.95
AAA52905.1,96.1111,20.82,100.0,42.05
AAA52906.1,74.0,19.39,84.0,38.35
AAA52917.1,83.5,20.46,99.0,41.15
AAA52923.1,86.0,21.23,89.0,43.1
AAA52929.1,79.5,20.46,96.0,41.15
AAA52940.1,90.5,21.135,92.5,42.85
AAA52941.1,78.9444,19.82,89.4445,39.55
AAA52945.1,87.5,21.48,94.0,43.75
AAA52975.1,86.0,20.51,91.0,41.3
AAA56826.1,88.889,18.8,90.001,36.8
AAA58970.1,85.9444,21.55,93.5,43.95
AAA61055.2,59.7781,16.315,90.834,30.4
AAA62592.1,88.5,20.58,92.0,41.45
AAA63202.1,80.5,20.04,87.0,40.1
AAA65221.1,86.5,21.155,97.5,42.9
AAA69010.1,88.5,21.415,95.0,43.55
AAA72631.1,87.0,21.375,92.0,43.5
AAA80604.1,80.5,18.815,88.0,36.85
