query_id,% Identity,bitscore,% Positives,score
23174-2,92.5917,47.785,97.8,112.05
1759879-39,93.6,45.44,97.4,106.0
3093910-4,89.575,44.235,94.5745,102.85
3227761-2,95.4,48.48,99.4,113.95
913821-3,92.4,45.92,96.2,107.3
1930494-3,95.8,48.155,99.2,113.05
1528748-4,94.0,45.86,96.8,107.15
4316688-3,94.2,46.495,97.8,108.75
909438-2,90.5833,45.265,95.783,105.5
12298-68,88.2,45.21,92.4,105.35
3869756-2,87.8,42.265,92.4,97.7
2031282-2,95.6,47.15,98.2,110.4
1558576-50,92.6,45.74,96.2,106.85
2494031-2,92.9666,45.055,95.3915,104.95
3783643-4,87.8,43.4,92.4,100.75
3466250-2,92.8,45.36,97.0,105.75
752953-2,95.8,48.21,97.8,113.2
1581839-107,91.4,44.51,94.0,103.55
3034713-2,92.1917,45.58,94.8,106.45
3843543-3,89.4,43.595,95.2,101.25
1841287-43,96.0,48.3,99.8,113.5
45154-2,90.575,45.97,95.383,107.4
2336375-55,81.65,41.28,87.909,95.2
1126463-3,90.6,43.44,93.0,100.85
426904-2,92.8,45.745,95.8,106.85
1030107-3,90.1917,45.035,94.1915,104.9
1668288-181,92.8,45.415,96.0,105.9
2092652-2,93.2,45.64,96.6,106.5
1161367-2,91.8,44.81,93.2,104.3
4094638-2,92.7917,46.8,97.8,109.5
2021103-38,94.2,47.82,99.8,112.1
4290302-4,90.7833,43.875,94.183,101.95
484641-4,87.8,43.84,92.4,101.85
1989252-2,95.8,47.735,99.6,111.9
2766460-4,88.775,43.12,91.383,100.05
2011431-2,94.6,46.915,98.0,109.8
1778085-2,96.6,47.935,98.6,112.45
3807172-17,91.4,44.595,95.4,103.75
79047-2,86.4,43.795,95.8,101.75
3844379-4,87.1833,43.38,94.7915,100.7
2760032-3,86.1583,42.88,91.183,99.45
2321383-2,88.9667,43.56,90.983,101.15
2132908-2,85.4,41.63,89.2,96.1
1130919-6,89.6,44.7,96.0,104.05
3752351-2,90.7917,44.495,96.1915,103.5
1011336-2,85.5667,43.76,93.375,101.65
1727082-90,91.0,43.855,93.2,101.9
138518-2,88.55,44.59,95.1745,103.75
63743-2,87.4,43.73,93.4,101.6
1575325-2,92.6,45.345,96.4,105.7
2266017-2,87.3584,43.955,89.767,102.15
1579108-2,92.6,45.275,95.0,105.5
2048192-2,92.8,46.755,96.0,109.4
3844027-23,88.3826,42.88,91.7825,99.4
3393463-65,83.775,42.52,93.1915,98.4
2707049-2,88.9917,44.53,91.7915,103.6
2784302-34,88.9917,43.34,92.3915,100.6
